UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,Power [W],Temp_diff [K],Wear_torque,wear_ratio
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,1,6802.595292573098,10.5,2822.3999999999996,0.315
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,2,5082.7513383163905,10.400000000000034,1995.5,0.29545454545454547
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,1,4731.3013681593,10.399999999999977,1747.6,0.34
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,2,6097.339157768726,10.399999999999977,2611.0,0.3181818181818182
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,1,4540.784717670103,10.5,1700.9,0.365
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,1,6175.114519896098,10.399999999999977,2925.0,0.375
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,0,4665.327922433916,10.299999999999955,1894.2,0.32083333333333336
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,1,6660.574360679817,10.299999999999955,3624.4,0.41
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,1,5336.445417069278,10.399999999999977,2528.4,0.42
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,2,6758.592051471818,10.399999999999977,4145.2,0.39090909090909093
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,1,4801.296052481281,10.399999999999977,2269.5,0.445
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,1,7177.251160464705,10.399999999999977,4395.3,0.455
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,1,5666.647748912589,10.400000000000034,3022.5,0.465
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,2,5665.0560086347705,10.300000000000011,3296.5000000000005,0.4318181818181818
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,2,7389.779903480055,10.399999999999977,4762.8,0.44545454545454544
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,2,6076.122935381483,10.300000000000011,3706.7000000000003,0.4590909090909091
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,1,5907.115722593864,10.300000000000011,4076.8,0.52
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,0,7321.51309511755,10.300000000000011,5374.200000000001,0.44166666666666665
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,1,7422.012644105886,10.300000000000011,5827.5,0.555
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,1,6475.3251138731375,10.300000000000011,5130.2,0.565
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,1,7277.436550187684,10.300000000000011,5842.0,0.575
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,2,7033.900287681404,10.300000000000011,5744.7,0.5318181818181819
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,0,6968.2619451724,10.399999999999977,5820.0,0.5
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,2,7322.005277966611,10.300000000000011,5937.5,0.5681818181818182
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,1,7656.050824822814,10.300000000000011,6284.8,0.64
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,2,4979.36152408675,10.300000000000011,3354.0,0.5909090909090909
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,1,6875.20797077307,10.300000000000011,6157.9,0.665
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,0,8043.262591353267,10.399999999999977,7276.5,0.5625
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,2,6520.815375497118,10.300000000000011,6174.0,0.6363636363636364
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1,1378.1748092277944,10.200000000000045,657.8,0.715
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,1,7951.025431043871,10.200000000000045,7960.5,0.725
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,0,6866.327735538923,10.199999999999989,6438.599999999999,0.6125
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,1,5752.413228355591,10.300000000000011,5335.2,0.76
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,1,5330.141287811075,10.300000000000011,4635.400000000001,0.77
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,1,6444.286178455671,10.300000000000011,6349.200000000001,0.78
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,1,6558.053720417669,10.300000000000011,6699.2,0.79
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,1,6385.171876690622,10.300000000000011,6448.0,0.8
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,2,5131.215640985769,10.199999999999989,4779.0,0.7363636363636363
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,1,7850.127946986078,10.300000000000011,8976.0,0.825
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,1,7673.004953176687,10.300000000000011,8784.2,0.835
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,2,6368.469075749037,10.199999999999989,6455.8,0.7681818181818182
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,1,4386.092695407341,10.199999999999989,3938.7999999999997,0.86
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,2,4914.581883569728,10.100000000000023,4506.599999999999,0.7909090909090909
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,1,6156.244020023534,10.100000000000023,6832.2,0.885
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,1,6583.668172519939,10.100000000000023,8072.900000000001,0.895
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,2,5046.162255877581,10.0,5194.7,0.8227272727272728
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,0,6770.195000339076,10.099999999999966,8114.400000000001,0.7666666666666667
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,1,5180.988940594142,10.099999999999966,6123.599999999999,0.945
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,1,9700.923955019922,10.100000000000023,12548.7,0.955
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,2,4553.4662800150945,10.100000000000023,4361.8,0.8772727272727273
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,1,6918.415341735442,10.200000000000045,8918.0,0.98
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,1,6365.243707291351,10.200000000000045,8791.199999999999,0.99
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,1,5834.984755267443,10.100000000000023,7000.0,1.0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,1,5415.299392674381,10.100000000000023,6524.599999999999,1.01
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,1,6743.878925877506,10.099999999999966,9526.800000000001,1.02
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,1,7328.487430808517,10.099999999999966,9867.4,1.03
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,1,6292.767164773034,10.099999999999966,8590.4,1.04
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,1,7539.508209350144,10.099999999999966,0.0,0.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,1,5564.367964087217,10.099999999999966,75.8,0.01
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,0,7550.870302780628,10.0,199.6,0.016666666666666666
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,1,7212.573133866566,10.0,427.5,0.045
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,1,6208.038410905718,10.0,448.79999999999995,0.055
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,1,6168.716142858287,10.0,521.3000000000001,0.065
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,1,7088.187008735435,10.0,714.0,0.075
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,2,5062.906944721215,10.0,455.6,0.07727272727272727
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,0,6601.5752506454,10.0,878.0,0.08333333333333333
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,1,5141.656200571199,10.0,795.0,0.125
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,2,6716.599429668834,10.0,1220.4,0.12272727272727273
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,2,6150.871896585896,10.0,1185.0,0.13636363636363635
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,1,4736.2022526989,10.0,851.4,0.165
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,1,4771.765081537537,10.0,871.5,0.175
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,2,4901.062563183781,10.0,1002.7,0.16818181818181818
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,1,6529.276731710787,9.899999999999977,1720.0,0.2
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,1,5418.388625450412,9.899999999999977,1339.8,0.21
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,2,7385.067514499669,10.0,2296.8,0.2
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,2,5822.156585265284,10.0,1659.1,0.21363636363636362
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,2,5479.461186636197,10.0,1495.0,0.22727272727272727
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,1,5235.809732399285,9.900000000000034,1733.1000000000001,0.265
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,1,7081.275504897537,10.0,2442.0,0.275
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,1,4848.524662040248,10.099999999999966,1425.0,0.285
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,1,4315.888571575121,10.0,1221.3,0.295
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,1,6611.272299969481,10.0,2476.6,0.305
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,2,6111.497268660904,10.0,2551.5,0.2863636363636364
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,1,6590.01418968019,9.899999999999977,2864.4,0.33
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,1,5181.543955296278,9.899999999999977,2114.8,0.34
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,1,7339.022238173556,9.899999999999977,3395.0,0.35
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,2,7336.624155781315,10.0,3369.6,0.32727272727272727
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,0,5550.848643701271,9.900000000000034,2452.5,0.3125
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,1,5613.523417140386,9.800000000000011,2728.0,0.4
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,1,4410.79608564007,9.800000000000011,1845.0,0.41
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,0,6828.408712210095,9.900000000000034,3654.0,0.35
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,2,6196.3726301853885,9.899999999999977,3515.5,0.40454545454545454
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,2,6520.208000917424,9.800000000000011,3854.7999999999997,0.41818181818181815
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,1,5172.318144870235,9.800000000000011,2793.0,0.475
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,1,6848.326409633854,9.800000000000011,4432.900000000001,0.485
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,1,5584.955867943743,9.800000000000011,3375.9,0.495
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,1,5525.747318399087,9.800000000000011,3333.0,0.505
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,2,5023.0610778981845,9.800000000000011,2894.3,0.4681818181818182
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,1,6252.491946954015,9.800000000000011,4314.200000000001,0.53
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,1,6707.834386165318,9.800000000000011,4827.6,0.54
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,1,6721.919193228913,9.800000000000011,4532.0,0.55
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,1,6955.171975782443,9.800000000000011,5678.400000000001,0.56
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,1,7026.31857741074,9.800000000000011,4947.599999999999,0.57
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,1,5317.0199024945805,9.800000000000011,3410.3999999999996,0.58
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,1,5260.282739170751,9.700000000000045,3799.6000000000004,0.59
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,1,8419.939550518684,9.600000000000023,7260.0,0.6
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,1,6880.559150259685,9.700000000000045,5673.0,0.61
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,1,6414.943703071142,9.600000000000023,4786.400000000001,0.62
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,1,5599.75276934215,9.600000000000023,4321.799999999999,0.63
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,1,6339.765390870739,9.599999999999966,5260.8,0.64
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,1,5038.580545606918,9.599999999999966,3601.0,0.65
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,2,6518.930419904965,9.699999999999989,5702.400000000001,0.6
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,2,7427.562791127229,9.699999999999989,6696.0,0.6136363636363636
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,1,7598.151272217155,9.599999999999966,7314.0,0.69
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,2,5106.50177877753,9.699999999999989,3990.0,0.6363636363636364
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,0,6795.683788735202,9.800000000000011,6535.1,0.5958333333333333
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,1,7510.930188177988,9.900000000000034,8184.4,0.74
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,0,7495.902903318317,9.800000000000011,7410.0,0.625
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,1,7409.383441638454,9.800000000000011,8649.0,0.775
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,1,5712.158954487593,9.800000000000011,5667.7,0.785
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,1,5691.393027047366,9.800000000000011,5596.8,0.795
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,2,5250.606633797693,9.799999999999955,4540.2,0.7318181818181818
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,0,7440.705120394746,9.799999999999955,8282.0,0.6833333333333333
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,2,6176.203605349341,9.799999999999955,7165.599999999999,0.7681818181818182
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,1,5323.61724706712,9.899999999999977,5779.2,0.86
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,0,6093.977653629385,9.899999999999977,6281.400000000001,0.725
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,1,6361.88220315201,10.0,7177.900000000001,0.895
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,2,6931.61003088052,10.0,8688.0,0.8227272727272728
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,1,6154.662751721228,9.900000000000034,7341.599999999999,0.92
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,1,6358.52069901267,9.900000000000034,7942.200000000001,0.93
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,2,5760.508065426341,9.800000000000011,7068.8,0.8545454545454545
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,2,6800.919776491184,9.800000000000011,7831.0,0.8681818181818182
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,1,5230.751768227006,9.800000000000011,5238.0,0.97
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,1,5792.426646786814,9.800000000000011,7095.200000000001,0.98
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,0,4119.9474377707265,9.800000000000011,3920.4,0.825
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,2,7201.577559579003,9.700000000000045,9338.0,0.9227272727272727
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,0,6732.747215908285,9.800000000000011,8961.0,0.8583333333333333
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,2,6278.9965169748,9.800000000000011,8440.0,0.9590909090909091
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,1,7240.009709707917,9.800000000000011,10058.0,1.07
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,1,8149.019072048613,9.800000000000011,13111.2,1.08
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,1,7733.302588174586,9.800000000000011,11401.4,1.09
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,1,5896.036372502204,9.800000000000011,0.0,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,2,6733.312702585931,9.800000000000011,87.6,0.00909090909090909
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,2,6574.725105432719,9.800000000000011,218.0,0.022727272727272728
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,1,4718.46272618163,9.899999999999977,208.0,0.04
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,0,5503.148795244265,9.800000000000011,326.0,0.041666666666666664
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,0,6550.032187175503,9.900000000000034,643.5,0.0625
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,1,9348.950386087234,9.900000000000034,1246.0,0.1
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,1,8157.019661339755,9.900000000000034,1300.2,0.11
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,2,5900.958200992828,9.800000000000011,840.0,0.10909090909090909
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,1,7777.494324835082,9.900000000000034,1371.6,0.135
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,2,4190.800824084688,9.899999999999977,603.2,0.1318181818181818
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,2,5614.727694324262,9.800000000000011,1078.4,0.14545454545454545
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,1,7973.341210859871,9.900000000000034,2040.5,0.175
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,1,6295.437518528586,9.900000000000034,1609.5,0.185
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,1,5879.4487632912505,9.900000000000034,1353.3000000000002,0.195
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,1,4455.1134860067095,10.0,877.4,0.205
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,1,7548.953931261937,10.0,2158.6,0.215
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,1,6800.41712166661,10.100000000000023,2241.0,0.225
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,1,7707.635776194758,10.100000000000023,2345.2999999999997,0.235
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,0,4622.413766785878,10.100000000000023,1185.8,0.20416666666666666
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,2,6759.681136925063,10.099999999999966,2597.4,0.24545454545454545
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,1,6329.209639554678,10.099999999999966,2319.9,0.285
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,1,5341.77565260487,10.0,1805.4,0.295
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,1,5784.426057495672,10.0,2330.2000000000003,0.305
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,1,7629.462478997932,10.199999999999989,3528.0,0.315
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,1,6224.008173561467,10.199999999999989,2801.5,0.325
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,1,5650.845537865033,10.199999999999989,2251.2000000000003,0.335
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,2,6994.504715805387,10.099999999999966,2994.6,0.31363636363636366
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,1,7718.086807755701,10.199999999999989,3592.7999999999997,0.36
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,1,6036.423676215621,10.199999999999989,2560.4,0.37
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,0,7583.42767464733,10.199999999999989,3936.7999999999997,0.31666666666666665
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,0,6079.903318541303,10.199999999999989,2802.6,0.3375
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,2,3000.702695051803,10.300000000000011,920.1999999999999,0.39090909090909093
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,1,6527.569799702336,10.199999999999989,3818.1,0.445
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,0,7422.955121901963,10.300000000000011,4504.5,0.37916666666666665
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,2,6540.199002169767,10.200000000000045,3926.3999999999996,0.43636363636363634
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,1,5820.3239895506895,10.300000000000011,3465.0,0.495
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,1,7067.986567972853,10.200000000000045,4757.1,0.505
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,1,5897.29300956364,10.200000000000045,3605.0,0.515
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,1,6795.264909714723,10.199999999999989,4326.0,0.525
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,2,6116.178241714753,10.100000000000023,3819.9,0.4863636363636364
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,1,5913.6292913623065,10.100000000000023,4169.0,0.55
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,1,5980.000672157146,10.100000000000023,3673.5999999999995,0.56
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,2,7459.397596683604,10.100000000000023,6042.0,0.5181818181818182
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,1,5947.8412353599,10.199999999999989,4130.099999999999,0.585
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,2,9032.571061919716,10.300000000000011,7223.3,0.5409090909090909
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,1,6114.555085510398,10.200000000000045,4477.400000000001,0.61
